Word,SemD
on,8.23827262463303
he,8.190354403763262
in,8.171599480345463
a,8.166216268592143
was,8.159660737063376
of,8.151044945685024
no,8.140898460607852
to,8.135639903354386
for,8.135346948906706
the,8.135346948906706
and,8.133293861222633
but,8.131824785007195
it,8.131824785007195
that,8.130353547431238
with,8.128585200374495
i,8.127995055771946
all,8.124743020385568
at,8.116715624819111
as,8.115819701211327
so,8.1101268019411
is,8.109224953089955
had,8.10892415597534
one,8.098642843759418
by,8.0959035329611
there,8.094988759303774
be,8.09376775793108
this,8.091933455979893
not,8.089789175789319
his,8.073714641109857
out,8.073091199693154
have,8.064007347096661
they,8.06117135969092
from,8.05579245097777
when,8.051340933292979
an,8.051022208190679
would,8.037866234709618
or,8.031060180240619
then,8.027150106832774
up,8.024534871605695
me,8.020927718981577
if,8.013012110368916
them,8.012018239159062
him,8.005700678662544
could,8.002694162283937
about,7.990576881743922
which,7.984803389734406
time,7.960672608388117
we,7.956126351213499
do,7.952615111651
now,7.941651252930556
what,7.937017489515454
been,7.928045600874777
were,7.912423121473705
you,7.907283609426348
said,7.886081401775745
did,7.884952945759814
any,7.8808043446749005
my,7.876258882303226
other,7.8709295967551425
down,7.86403565907245
more,7.8551570058813445
their,7.853993087224245
some,7.853604813097836
are,7.845024417241484
like,7.8407064517494
into,7.829630389150193
over,7.821643126239982
see,7.818430272070657
made,7.807510042216193
good,7.802209316247118
two,7.79934339821592
only,7.793586803371584
who,7.7886260656250315
man,7.788211557847076
way,7.786136437783072
little,7.775695749915245
before,7.771488760117616
these,7.7706452341291765
will,7.758760544157663
well,7.7475968386928855
very,7.725771441587952
never,7.7226775164680035
can,7.720461694599721
after,7.717796211013582
go,7.713784616598755
upon,7.6984827878809465
than,7.697121317282625
know,7.696667081526462
get,7.695757990554761
its,7.687538766201629
thing,7.684783943522785
make,7.67786350067821
has,7.668561108015897
again,7.6676260915849905
away,7.667158255319148
day,7.666690200080086
got,7.652545692693921
just,7.645397699428633
how,7.644440761556566
such,7.631431664576906
went,7.628517626575055
old,7.6255950721324535
come,7.622663951323595
long,7.622174594817622
where,7.613324979540639
our,7.599401333415815
great,7.592366128519796
us,7.590852123688581
here,7.587310506022615
people,7.585788821732034
through,7.584264818389059
every,7.583756300707112
first,7.575071699507561
back,7.57198844937744
nothing,7.563719668414366
too,7.555905093611346
say,7.552762084214147
her,7.550135342488429
last,7.5352967024440884
another,7.530479995245536
take,7.5256399750415355
think,7.52294091807237
ever,7.506042178518122
came,7.505492274737424
most,7.4977617006225685
place,7.496097345175956
without,7.487733761436444
still,7.48605261786314
right,7.4815557019095165
always,7.478734825567875
much,7.473637108496206
three,7.473637108496206
things,7.467942332285852
she,7.465082736399547
off,7.456454555176209
around,7.453561871643373
many,7.432483807917119
put,7.424761761823209
because,7.4205789054108005
must,7.411556287811163
your,7.410347097821024
took,7.409741954080923
let,7.402451520818244
yet,7.401231264413015
those,7.392647520721623
along,7.389563953677635
while,7.3833681469923835
under,7.382124365737512
even,7.3613754289773485
enough,7.359467638255621
head,7.359467638255621
years,7.337587743538596
new,7.3343293503005365
once,7.325807502595773
same,7.325807502595773
look,7.315883504509785
being,7.31455283232408
himself,7.312553498102598
might,7.295735072749282
done,7.294377299288821
life,7.294377299288821
found,7.289610521451167
going,7.2875606403097235
own,7.2875606403097235
men,7.27931883541462
should,7.277938572945661
world,7.274479558773871
night,7.241366283322318
thought,7.241366283322318
left,7.224753405767971
give,7.22402480828583
hand,7.222566018822171
find,7.213768308118642
saw,7.2115567333138015
hundred,7.203405521083095
next,7.19668657083435
may,7.195937226475569
mind,7.195937226475569
tell,7.195187320178708
why,7.193685818395112
half,7.15305163493748
course,7.149916836132109
matter,7.144407180321139
anything,7.134093721192866
am,7.1316985104669115
something,7.1308988302963465
days,7.123672785204607
work,7.1204443723924875
also,7.108244139731541
kind,7.105786129481271
home,7.087573705557973
keep,7.075808863978387
seen,7.072421900537371
whole,7.0630481633881725
told,7.057897937411856
far,7.042286171939743
rest,7.04141166379481
poor,7.039660349862076
set,7.036148493750536
does,7.025538314638521
chapter,7.016609683894219
gone,7.011213987350367
house,7.00669522683704
hands,7.0030654587864625
heard,7.001245622069476
times,6.9985096422506015
end,6.9975959829819265
moment,6.993932975223189
yes,6.992096427415888
till,6.9874902470009905
against,6.985641817639208
soon,6.97914527506881
began,6.97354301952014
better,6.970730078143525
looked,6.968850378341948
name,6.963189985870238
among,6.962243464266207
high,6.961296045910167
each,6.952728644624869
knew,6.9508147684425845
stood,6.947937068614969
young,6.942156705699469
seemed,6.9411900550683745
morning,6.9363427358340495
sort,6.934397209928558
dead,6.933423025730715
four,6.932447891572509
full,6.922643891475888
word,6.910750787961936
face,6.90875477931522
turned,6.8966943316227125
oh,6.895682697747868
together,6.892641641172089
eyes,6.889591308354466
side,6.889591308354466
myself,6.884486652042782
want,6.875232087276577
pretty,6.873163834212518
called,6.8679744089702925
gave,6.8679744089702925
best,6.863803391452954
person,6.862757913051402
thousand,6.85751406254539
both,6.848005274576363
ten,6.840546529288687
heart,6.837332814685591
five,6.833031732786201
ago,6.822197390620491
feet,6.807934943699926
part,6.79794041297493
shall,6.796823718274855
hour,6.7912214627261855
says,6.78897174299217
country,6.787844982309579
body,6.782192056006791
few,6.778784897685177
lost,6.777646593635117
presently,6.767343125265392
town,6.76619171466035
used,6.760414691083428
water,6.756932389247553
stand,6.754604099487962
brought,6.740519359606223
fact,6.739336627357174
hear,6.726233402358747
until,6.725033642166843
idea,6.723832440821209
toward,6.723832440821209
wanted,6.721425700790643
help,6.71901315438526
since,6.71901315438526
fell,6.715383386334681
between,6.714170529909472
business,6.714170529909472
believe,6.71174039505618
talk,6.71174039505618
kept,6.706862336602747
above,6.699500340161678
white,6.692083742506628
words,6.692083742506628
several,6.690842277418564
everything,6.6895992691789665
trouble,6.68586094706836
war,6.683360945766275
others,6.679599185844383
six,6.675823221634848
death,6.672032945461067
use,6.669498089857879
almost,6.655440350367647
turn,6.652863029353347
asked,6.6502790485874215
though,6.6502790485874215
sure,6.647688373563329
